ax,ay,az,gx,gy,gz
0.83,9.69,-0.03,-0.02,-0.01,-0.03
0.91,9.81,0.01,0.05,-0.08,0.09
1.05,10.37,-2.23,-0.12,0.18,0.21
1.69,13.38,-4.51,-0.24,0.06,0.59
8.67,8.49,-17.14,2.06,0.07,1.55
-0.09,2.20,-0.76,-2.76,0.46,-1.89
-2.62,8.82,18.40,-0.86,-0.44,-0.76
1.12,7.30,0.16,0.52,0.13,-0.06
1.76,9.16,3.51,-0.27,0.09,0.05

1.61,9.41,-1.58,0.05,0.05,-0.02
1.64,9.39,-2.62,0.20,-0.02,-0.02
1.87,11.18,-9.22,-0.16,-0.17,0.20
4.79,10.43,-17.13,0.37,1.14,0.37
0.34,1.16,6.61,-3.15,0.21,-0.03
-0.18,5.74,17.06,-1.83,-0.49,0.20
-1.31,6.50,4.86,0.36,0.26,-0.41
3.45,7.83,6.59,-0.16,0.16,0.23
-1.00,8.82,5.24,0.46,0.40,-0.11

3.79,14.15,-8.62,-0.01,-1.61,-0.03
-1.79,8.21,-4.22,-1.73,0.41,-1.97
-2.17,-2.05,25.08,-2.33,-1.11,1.42
-2.67,6.03,8.39,0.29,0.37,-0.36
3.21,6.33,4.31,0.30,0.27,0.27
0.50,7.77,6.01,0.10,0.21,0.31
0.74,8.00,5.67,0.14,0.23,0.52

3.71,11.28,-6.28,0.18,1.05,0.04
6.51,18.46,-10.38,1.57,1.36,-0.03
-4.59,1.72,1.70,-3.17,1.70,-1.90
-8.01,3.68,20.50,-2.30,0.35,-0.78
3.03,6.42,10.97,0.21,0.17,-0.77
-0.57,6.82,3.94,0.08,0.50,-0.16
1.82,8.42,5.83,-0.02,0.59,-0.11
0.59,9.81,4.79,0.14,0.17,0.30
1.11,9.88,3.63,0.13,0.41,0.13

6.52,9.81,-11.95,0.93,0.64,0.37
3.05,8.94,-4.69,-0.50,0.53,-0.75
-3.78,3.28,1.46,-2.64,-0.59,-0.14
-0.04,5.28,17.01,-2.13,0.07,0.01
0.80,5.58,7.93,0.83,0.47,-0.34
1.87,6.51,6.32,0.03,-0.02,0.72
0.23,6.93,5.87,1.00,1.01,0.16
1.43,8.81,1.42,1.06,0.22,0.74
3.11,10.45,1.37,0.79,-0.53,0.86
4.46,9.52,-3.51,0.66,-0.60,0.38

1.68,9.34,-1.91,0.13,0.32,-0.06
2.09,11.37,-3.00,0.13,0.77,0.09
8.73,14.55,-13.95,2.35,0.70,0.15
-5.71,-0.74,9.70,-3.67,1.58,-2.16
-4.75,6.36,17.18,-1.88,-0.49,-0.01
2.90,7.18,5.01,-0.42,-0.21,0.18
1.01,8.38,3.73,-0.16,0.21,-0.19
1.86,9.05,4.20,-0.15,-0.04,0.33

2.36,9.68,-0.50,0.07,-0.18,0.05
3.68,12.90,-3.46,0.56,-0.35,0.25
8.54,11.12,-20.13,2.30,-0.90,0.43
-0.20,-0.06,3.57,-4.15,-1.30,-1.88
-2.94,4.23,21.46,-2.42,-0.01,-2.46
-1.64,6.58,4.66,0.21,-0.35,1.21
1.25,8.55,4.38,-0.05,0.16,0.02

