ax,ay,az,gx,gy,gz,timestamp
-0.28,-0.29,9.68,-0.02,0.01,-0.01,2025-09-22T14:23:54.806
-0.28,-0.30,9.67,-0.02,0.01,-0.01,2025-09-22T14:23:54.906
-0.29,-0.29,9.70,-0.02,0.01,-0.01,2025-09-22T14:23:55.015
-0.28,-0.30,9.67,-0.02,0.01,-0.01,2025-09-22T14:23:55.114
-0.27,-0.31,9.67,-0.02,0.01,-0.01,2025-09-22T14:23:55.222
-0.27,-0.30,9.68,-0.02,0.01,-0.01,2025-09-22T14:23:55.319
-0.29,-0.28,9.69,-0.02,0.01,-0.01,2025-09-22T14:23:55.426
-0.28,-0.28,9.66,-0.02,0.01,-0.01,2025-09-22T14:23:55.533
-0.26,-0.30,9.71,-0.02,0.01,-0.01,2025-09-22T14:23:55.633
-0.28,-0.29,9.67,-0.02,0.01,-0.01,2025-09-22T14:23:55.733
-0.27,-0.29,9.69,-0.02,0.01,-0.01,2025-09-22T14:23:55.841
-0.30,-0.29,9.66,-0.02,0.01,-0.01,2025-09-22T14:23:55.938
-0.28,-0.27,9.67,-0.02,0.01,-0.01,2025-09-22T14:23:56.048
-0.29,-0.30,9.67,-0.02,0.01,-0.01,2025-09-22T14:23:56.147
-0.28,-0.27,9.68,-0.02,0.01,-0.01,2025-09-22T14:23:56.255
-0.27,-0.29,9.68,-0.02,0.01,-0.01,2025-09-22T14:23:56.352
-0.23,-0.30,9.64,-0.03,0.00,-0.01,2025-09-22T14:23:56.462
-0.00,-0.56,10.06,0.13,0.20,0.00,2025-09-22T14:23:56.562
-0.59,-0.03,9.55,-0.08,-0.05,-0.01,2025-09-22T14:23:56.661
-1.00,0.78,8.40,0.11,0.15,0.01,2025-09-22T14:23:56.771
-1.49,-2.70,12.07,0.76,-0.09,0.67,2025-09-22T14:23:56.870
-2.66,0.91,11.65,2.83,1.44,0.66,2025-09-22T14:23:56.968
-2.35,4.05,8.12,2.22,0.77,0.81,2025-09-22T14:23:57.079
-1.56,6.05,8.43,3.17,1.49,0.62,2025-09-22T14:23:57.176
-0.03,7.81,5.96,3.68,0.43,1.02,2025-09-22T14:23:57.284
3.22,8.09,-0.23,2.01,-0.53,1.26,2025-09-22T14:23:57.380
2.00,8.24,-1.69,1.48,-0.58,0.79,2025-09-22T14:23:57.487
2.10,7.81,-3.92,0.40,0.23,0.02,2025-09-22T14:23:57.585
1.79,8.87,-1.38,-1.01,0.46,-0.37,2025-09-22T14:23:57.692
1.66,9.49,-0.97,0.31,0.16,0.26,2025-09-22T14:23:57.790
2.13,9.14,-1.93,0.42,0.13,0.11,2025-09-22T14:23:57.897
2.63,8.55,-3.81,0.44,0.19,-0.05,2025-09-22T14:23:58.006
2.02,8.66,-3.15,-0.18,-0.02,-0.03,2025-09-22T14:23:58.105
1.58,9.17,-2.59,-0.32,0.22,-0.24,2025-09-22T14:23:58.204
1.56,9.70,-0.92,-0.20,0.15,-0.13,2025-09-22T14:23:58.313
1.71,9.61,-1.54,-0.08,0.19,-0.21,2025-09-22T14:23:58.411
1.62,9.49,-1.53,-0.13,0.02,-0.08,2025-09-22T14:23:58.520
1.41,9.44,-1.58,-0.17,0.05,-0.11,2025-09-22T14:23:58.619
1.03,9.50,-1.41,-0.22,0.11,-0.10,2025-09-22T14:23:58.726
1.33,9.66,-0.74,-0.14,0.04,-0.08,2025-09-22T14:23:58.827
1.13,9.74,-0.67,-0.08,0.02,0.03,2025-09-22T14:23:58.925
1.27,9.50,-0.91,0.01,-0.06,0.06,2025-09-22T14:23:59.033
1.37,9.45,-0.86,-0.05,-0.04,0.01,2025-09-22T14:23:59.132
1.25,9.56,-0.74,-0.11,-0.03,-0.03,2025-09-22T14:23:59.240
1.40,9.82,-0.49,0.03,0.03,0.00,2025-09-22T14:23:59.339
1.38,9.55,-0.91,0.07,0.03,0.06,2025-09-22T14:23:59.447
1.58,9.33,-1.20,-0.06,0.04,-0.03,2025-09-22T14:23:59.545
1.20,9.58,-0.59,-0.02,0.10,-0.04,2025-09-22T14:23:59.653
1.47,9.58,-0.65,-0.04,0.12,-0.05,2025-09-22T14:23:59.750
1.29,9.67,-0.46,-0.11,0.01,0.03,2025-09-22T14:23:59.858
1.63,9.57,-0.50,-0.05,0.08,0.03,2025-09-22T14:23:59.957
1.54,9.49,-0.70,0.01,0.03,-0.02,2025-09-22T14:24:00.065
1.57,9.71,-0.48,-0.05,0.00,-0.03,2025-09-22T14:24:00.163
1.69,9.48,-0.41,0.02,-0.01,0.02,2025-09-22T14:24:00.269
1.50,9.39,-0.80,-0.00,-0.05,-0.03,2025-09-22T14:24:00.367
1.34,9.67,-0.66,-0.01,-0.02,-0.05,2025-09-22T14:24:00.475
1.42,9.63,-0.64,0.02,-0.02,0.04,2025-09-22T14:24:00.572
1.62,9.36,-1.06,-0.05,-0.04,-0.03,2025-09-22T14:24:00.681
1.29,9.63,-0.53,-0.04,-0.02,-0.07,2025-09-22T14:24:00.778
1.37,9.62,-0.78,-0.00,-0.00,-0.03,2025-09-22T14:24:00.887
1.44,9.60,-0.65,-0.06,0.00,0.00,2025-09-22T14:24:00.983
1.34,9.57,-0.48,-0.09,-0.03,-0.01,2025-09-22T14:24:01.090
1.47,9.62,-0.70,-0.00,0.03,-0.01,2025-09-22T14:24:01.189
1.53,9.48,-0.97,-0.03,0.04,0.01,2025-09-22T14:24:01.298
1.24,9.66,-0.50,-0.08,-0.03,0.01,2025-09-22T14:24:01.405
1.56,9.57,-0.48,0.00,0.00,0.04,2025-09-22T14:24:01.500
1.58,9.51,-0.48,-0.08,-0.02,-0.01,2025-09-22T14:24:01.608
1.57,9.56,-0.59,-0.07,-0.03,-0.01,2025-09-22T14:24:01.704
1.64,9.65,-0.42,0.03,0.01,0.01,2025-09-22T14:24:01.812
1.71,10.86,-0.10,0.09,-0.16,0.19,2025-09-22T14:24:01.909
1.88,9.82,-0.83,0.43,-0.15,0.34,2025-09-22T14:24:02.019
1.29,7.85,-2.34,0.11,0.09,0.19,2025-09-22T14:24:02.116
2.48,8.73,-1.54,-0.34,-0.03,0.16,2025-09-22T14:24:02.224
2.54,9.65,-0.69,0.00,0.23,-0.36,2025-09-22T14:24:02.331
1.80,9.84,-0.87,-0.03,0.09,-0.12,2025-09-22T14:24:02.427
2.36,9.39,-1.02,-0.09,0.07,0.05,2025-09-22T14:24:02.538
2.40,9.43,-0.49,-0.11,0.01,0.01,2025-09-22T14:24:02.635
2.16,9.49,-0.68,-0.02,0.01,-0.07,2025-09-22T14:24:02.742
2.00,9.50,-0.67,-0.01,0.02,-0.02,2025-09-22T14:24:02.840
1.87,9.44,-1.00,-0.08,0.13,-0.10,2025-09-22T14:24:02.948
2.06,9.56,-0.57,-0.04,0.05,-0.01,2025-09-22T14:24:03.046
2.11,9.62,-0.45,-0.08,-0.01,0.01,2025-09-22T14:24:03.154
2.05,9.47,-0.55,0.05,0.02,-0.04,2025-09-22T14:24:03.251
2.03,9.57,-0.71,0.01,-0.04,-0.03,2025-09-22T14:24:03.359
1.96,9.48,-1.02,0.09,0.04,0.00,2025-09-22T14:24:03.455
2.06,9.46,-1.07,-0.00,-0.00,-0.02,2025-09-22T14:24:03.563
1.78,9.53,-0.53,0.03,-0.00,-0.01,2025-09-22T14:24:03.669
